"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Order Sorting Optimization of Four-way Shuttle Based Storage and Retrieval System","Z. Wang; Y. Zhou","School of E-business and Logistics, Beijing Technology and Business University; School of E-business and Logistics, Beijing Technology and Business University","2022 4th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)","22 May 2023","2022","","","94","97","With the development of the Internet, e-commerce enterprises have more and more orders and data to handle. As a new kind of intelligent storage and retrieval system, four-way shuttle-based storage and retrieval system has greatly efficiency and precision. This paper introduces a tier-to-tier four-way shuttle-based storage and retrieval system, analyzes the operation characteristics of four-way shuttles and lifts. Based on this, the order sorting optimization model is established to study the effect of scheduling of intelligent devices in the tier-to-tier four-way shuttle-based storage and retrieval system on the outbound time, and the model was solved using a genetic algorithm. Finally, the experimental results show that the order sequencing after the model optimization significantly reduces the dispatching time compared with the order dispatching order before optimization.","","979-8-3503-3394-7","10.1109/MLBDBI58171.2022.00024","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125480","automated storage;Order Sorting;four-way shuttle based storage and retrieval system;genetic algorithm","Analytical models;Sequential analysis;Machine learning algorithms;Dispatching;Scheduling;Data models;Task analysis","electronic commerce;genetic algorithms;Internet;lifts;order processing;organisational aspects;scheduling;sorting;storage","e-commerce enterprises;four-way shuttles;genetic algorithm;intelligent storage;lifts;model optimization;order dispatching order;order sequencing;order sorting optimization;shuttle-based storage;tier-to-tier four-way shuttle","","","","8","IEEE","22 May 2023","","","IEEE","IEEE Conferences"
"Multi-view block Fusion Algorithm for Data Mining and Intelligent Sports Training","L. Li","Hunan Vocational College of Modern Logistics, Changsha, Hunan, China","2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC)","19 Sep 2022","2022","","","1616","1619","Multi-view block fusion algorithm for data mining and intelligent sports training is designed and implemented in this manuscript. It has excellent performance in the field of ultra-high-speed real-time image processing. The dual-DSP high-speed real-time signal processing system of this system consists of two DSP chips as the core to form a neighborhood image parallel processor, and realizes synchronous parallel operation processing through the division and decomposition of system tasks. With the designed model, the ideas on the block fusion algorithm for data mining and intelligent sports training is then discussed. Under the condition of the same fill factor, the composite aperture array structure can obtain the higher resolution and imaging quality than the typical aperture array structure after image restoration, which is an effective means to obtain very high resolution. This will be further considered to optimize the sport system. The performance is validated by performing a general testing on different datasets.","","978-1-6654-7971-4","10.1109/ICESC54411.2022.9885361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9885361","Multi-view block;image fusion;data mining;intelligent sports training;video tracking","Training;Image resolution;Signal processing algorithms;Apertures;Real-time systems;Data mining;Arrays","data mining;digital signal processing chips;image fusion;image resolution;image restoration;optimisation;parallel processing;sport;video signal processing","multiview block fusion algorithm;data mining;intelligent sports training;image processing;synchronous parallel operation;image quality;sport system;image parallel processor;dual-DSP high-speed real-time signal processing system;image resolution;aperture array structure;image restoration;optimization;DSP chips","","","","30","IEEE","19 Sep 2022","","","IEEE","IEEE Conferences"
"Evaluation and Decision Methods for Product Configuration Design Process based on Network Planning Technology with the Demand Preferences of Customers","T. Yang; Q. Wang; Q. Fu; Y. Li","School of Management; Enterprise Management Research Center Chongqing Technology and Business University, Chongqing, China; School of Management; Enterprise Management Research Center Chongqing Technology and Business University, Chongqing, China; School of Management; Enterprise Management Research Center Chongqing Technology and Business University, Chongqing, China; School of Management; Enterprise Management Research Center Chongqing Technology and Business University, Chongqing, China","2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture (AIAM)","8 Mar 2022","2021","","","446","452","In the process of product configuration design, the change of customer demand preference will inevitably lead to the increase of product configuration tasks and the extension of product configuration cycle. In order to satisfy the customer demand preference and optimize the product configuration design scheme under the constraints of the product configuration design cycle, a customer demand evaluation and decision-making method based on network planning technology is proposed to meet the diversified and personalized needs of customers. Firstly, based on the product configuration design module and the subdivision results of the configuration process, the network planning technology is used to calculate the required period of the initial product configuration scheme under common requirements. Then, through the mapping relationship between the customers personalized configuration requirements and the product configuration module, a product configuration design model considering the customer demand preference is constructed. Meanwhile, the periodic constraint vector algorithm is used to evaluate the customer demand preference and determine whether to respond to the customer preference information. Finally, an example is given to verify the scientificity, rationality and effectiveness of the proposed method.","","978-1-6654-1732-7","10.1109/AIAM54119.2021.00096","National Natural Science Foundation of China(grant numbers:71701027); Humanity and Social Science Youth foundation of Ministry of Education of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724928","customer demand preference;product configuration design;network planning technology;configuration module;evaluation decision","Decision making;Mobile handsets;Planning;Manufacturing;Task analysis;Artificial intelligence","decision making;product customisation;product design","network planning technology;initial product configuration scheme;configuration requirements;product configuration module;product configuration design model;customer demand preference;customer preference information;product configuration design process;demand preferences;product configuration tasks;product configuration cycle;product configuration design scheme;product configuration design cycle;customer demand evaluation;decision-making method;product configuration design module;configuration process","","","","9","IEEE","8 Mar 2022","","","IEEE","IEEE Conferences"
"Estimating Global Completeness of Event Logs: A Comparative Study","J. Pei; L. Wen; H. Yang; J. Wang; X. Ye","School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China","IEEE Transactions on Services Computing","9 Apr 2021","2021","14","2","441","457","Event logs are the basis of process mining techniques and tools that extract process behavior information for better understanding and optimization of business processes. While it has been widely realized that the degree of completeness of event logs may largely determine the effectiveness of these techniques, how to estimate the completeness of event logs has not yet been fully addressed. This is mainly because ground-truth process models are usually unknown. To attack this problem, we pay a closer look to several concepts and implicit assumptions in the log completeness estimation problem and characterize it as a special case of the species estimation problem in the field of statistics. Although species estimation is still an open problem, a number of statistic models and techniques with approximate solutions have been available. To investigate the relevance of these methods for event log completeness estimation, we have designed and conducted a wide scope of empirical study and quantitative experiments on both real-world and synthesized event logs to compare the performance of these methods. In addition, the completeness estimation of several important and widely used real-world events logs are reported for the first time together with some best practice experience learned through this research.","1939-1374","","10.1109/TSC.2018.2805912","National Key Research and Development Program of China(grant numbers:2016YFB1001101); National Natural Science Foundation of China(grant numbers:61472207,71690231,61325008); Tsinghua TNList Lab Key Projects; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291718","Quality and metrics;business process management;process mining;event logs;completeness","Estimation;Task analysis;Measurement;Computational modeling;Algorithm design and analysis;Prediction algorithms","business data processing;data mining","event logs completeness;species estimation problem;log completeness estimation problem;ground-truth process models;business processes;process mining techniques;real-world events logs","","4","","56","IEEE","14 Feb 2018","","","IEEE","IEEE Journals"
"Identification of Business Goals of AI Service System based on GQM+Strategies","H. Takeuchi; R. Iga; K. Katayama; H. Mitsuyama; R. Motegi; A. Uematsu","Department of Economics, Musashi University, Tokyo, Japan; Department of Economics, Musashi University, Tokyo, Japan; Department of Economics, Musashi University, Tokyo, Japan; Department of Economics, Musashi University, Tokyo, Japan; Department of Economics, Musashi University, Tokyo, Japan; Department of Economics, Musashi University, Tokyo, Japan","2021 10th International Congress on Advanced Applied Informatics (IIAI-AAI)","13 Jun 2022","2021","","","768","771","In this study, we considered projects in which enterprise service systems are developed using artificial intelligence (AI) technologies. Many enterprises have started applying AI technologies to their business functions. When introducing AI technologies effectively, it is important to identify suitable business domains in the enterprise before planning projects. We proposed a GQM+Strategies-based method for identifying business domains where AI technologies can be applied and confirmed the effectiveness of the proposed method through a real business analysis.","2770-8470","978-1-6654-2420-2","10.1109/IIAI-AAI53430.2021.00135","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9790956","AI service system;Business goal;GQM+Strategies;Enterprise architecture","Measurement;Planning;Artificial intelligence;Task analysis;Informatics;Business","artificial intelligence;business data processing;software metrics","business goals;AI service system;enterprise service systems;artificial intelligence technologies;business functions;AI technologies;business analysis;GQM+strategies-based method","","","","13","IEEE","13 Jun 2022","","","IEEE","IEEE Conferences"
"ERP in Indonesia SMEs: a Study for Post Implementation Evaluation from User's Perspective Acceptance","T. Siregar; W. Puspitasari; M. Saputra","School of Industrial and System Engineering Telkom University, Bandung, Indonesia; School of Industrial and System Engineering Telkom University, Bandung, Indonesia; School of Industrial and System Engineering Telkom University, Bandung, Indonesia","2022 International Conference on ICT for Smart Society (ICISS)","19 Oct 2022","2022","","","01","06","The Indonesia Ministry of Investment stated that SMEs in Indonesia are the most influential aspects of economic growth. Implementing systems and technology in an organization or company is one way to survive market openness and provide sustainability. One of the SMEs in Jakarta just began using the Odoo ERP system to help them in their daily business processes. Evaluating user acceptance of the ERP is one step in the evaluation stages. Knowing the factors that influence the usage behavior will be a preventive action as they will continue to implement other features on the system. Because of the detailed variables, Technology Acceptance Model 3 (TAM 3) was found suitable to learn about the user acceptance of ERP systems and the factors that influence it in one of the retail businesses in Indonesia as they are becoming smart SME. From the 23 hypotheses, the employees' anxiety is the biggest obstacle in using the Odoo ERP system. Having the employees understand the entire usage of the system can positively impact user confidence in the system's functionality, convenience, and behavior.","","978-1-6654-7135-0","10.1109/ICISS55894.2022.9915088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9915088","TAM 3;Enterprise Resource Planning (ERP);smart SMEs;SEM-PLS;IT Acceptance","Computers;Economics;Technology acceptance model;Anxiety disorders;Behavioral sciences;Planning;Complexity theory","business data processing;data analysis;economics;enterprise resource planning;human factors;investment;organisational aspects;personnel;retail data processing;small-to-medium enterprises;sustainable development;technology management","post implementation evaluation;economic growth;market openness;Odoo ERP system;daily business processes;user acceptance;evaluation stages;technology acceptance model 3;ERP systems;user confidence;Indonesia SME;TAM 3","","","","21","IEEE","19 Oct 2022","","","IEEE","IEEE Conferences"
"In-Flight Catering Management System as a Business Process Optimization for Air Terminal Services (Fiji) PTE Limited","P. Kumar; N. A. Sharma","Department of Computer Science and Mathematics, School of Science and Technology, University of Fiji, Lautoka, Fiji; Department of Computer Science and Mathematics, School of Science and Technology, University of Fiji, Lautoka, Fiji","2021 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)","1 Mar 2022","2021","","","1","4","Air Terminal Services (Fiji) PTE Limited provides in-flight catering services to all customer airlines that dock at the Nadi International Airport. The initial process deals with capturing the meal figures from all the customer airlines and distributing the information to the kitchen staff for meal preparation. The study evaluates the processes involved in the data collection phase and relates them to efficiency and productivity and as well as identifies the issues faced by the staff. It is evident that even though technology is used in the data collection phase; the effectiveness is not visible as human intervention is still necessary to collect, consolidate and distribute the information. Multiple sources of information are also another contributing factor that limits efficiency. Given that the means of communication are through emails, phone calls and, text messages; constant checking and verification is required which results in unnecessary time consumption and is prone to human error. This further delays in communicating the information to the ground staff thus limiting efficiency and affecting timely preparation of meals and adjusting to amendments. A software solution is proposed that will be able to handle the current data collection and distribution phase. The software can be used by the organization and the customer airlines as a standard means for communicating meal figures. This approach will mitigate the factor of consolidating and distributing the meal figures to the ground staff thus increasing efficiency and optimizing the business process to achieve the organizational objective.","","978-1-6654-9552-3","10.1109/CSDE53843.2021.9718407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9718407","in-flight catering;business process analysis;efficiency;productivity;software solution","Productivity;Limiting;Standards organizations;Organizations;Manuals;Data collection;Software","airports;catering industry;electronic mail;electronic messaging;food products;travel industry","organizational objective;software solution;human error;text messages;phone calls;emails;air terminal services PTE limited;in-flight catering management system;Fiji;business process optimization;distribution phase;data collection phase;meal preparation;kitchen staff;meal figures;Nadi International Airport;customer airlines;in-flight catering services","","","","7","IEEE","1 Mar 2022","","","IEEE","IEEE Conferences"
"Prescriptive Trees for Integrated Forecasting and Optimization Applied in Trading of Renewable Energy","A. Stratigakos; S. Camal; A. Michiorri; G. Kariniotakis","Center for Processes, Renewable Energies and Energy Systems (PERSEE), MINES ParisTech, PSL University, Sophia-Antipolis, France; Center for Processes, Renewable Energies and Energy Systems (PERSEE), MINES ParisTech, PSL University, Sophia-Antipolis, France; Center for Processes, Renewable Energies and Energy Systems (PERSEE), MINES ParisTech, PSL University, Sophia-Antipolis, France; Center for Processes, Renewable Energies and Energy Systems (PERSEE), MINES ParisTech, PSL University, Sophia-Antipolis, France","IEEE Transactions on Power Systems","21 Oct 2022","2022","37","6","4696","4708","Deriving decisions from data typically involves a sequential process with two components, forecasting and optimization. Forecasting models learn by minimizing a loss function that stands as a proxy for task-specific costs (e.g., trading, scheduling) without considering the downstream optimization, which in practice creates a performance bottleneck and obscures the impact of data on decisions. This work proposes a single data-driven module that leverages the structure of the optimization component and directly learns a policy conditioned on explanatory data. For this purpose, we describe an algorithm to train ensembles of decision trees by directly minimizing task-specific costs, and prescribe decisions via a weighted Sample Average Approximation of the original problem. We then develop a generic framework to assess the impact of explanatory data on prescriptive performance. To illustrate the efficacy of the proposed modeling approach, we consider two case studies related to trading renewable energy. First, we examine trading in a day-ahead market and propose strategies that balance optimal trading decisions and predictive accuracy. Next, we append a storage device and co-optimize the day-ahead offers and the operational policy, based on a tractable approximation using the linear decision rule approach. The empirical results demonstrate improved prescriptive performance compared to solutions derived under the standard stochastic optimization framework. Further, we provide valuable insights on how explanatory data impact optimization performance and how this impact evolves under different market designs.","1558-0679","","10.1109/TPWRS.2022.3152667","ADEME’s; Investissement d’Avenir; ERA-Net SES RegSys Program(grant numbers:646039); Smart4RES Project(grant numbers:864337); Horizon 2020 Framework Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9716858","Data-driven optimization;decision trees;energy forecasting;energy storage system;energy trading;linear decision rules;prescriptive analytics","Forecasting;Optimization;Predictive models;Renewable energy sources;Energy storage systems;Uncertainty;Decision trees","decision trees;learning (artificial intelligence);optimisation;power markets;power system planning;stochastic processes;stochastic programming","downstream optimization;single data-driven module;optimization component;decision trees;task-specific costs;prescribe decisions;weighted Sample Average Approximation;prescriptive performance;trading renewable energy;day-ahead market;balance optimal trading decisions;storage device;day-ahead offers;linear decision rule approach;standard stochastic optimization framework;explanatory data impact optimization performance;prescriptive trees;integrated forecasting;deriving decisions;sequential process;forecasting models;loss function","","6","","44","IEEE","18 Feb 2022","","","IEEE","IEEE Journals"
"Data mining for risk prediction of diabetes mellitus","F. Li; C. Meng; C. Wang; S. Fan","Shijiazhuang Campus, Army Engineering University, Shijiazhuang, China; Shijiazhuang Campus, Army Engineering University, Shijiazhuang, China; Shijiazhuang Campus, Army Engineering University, Shijiazhuang, China; Shijiazhuang Campus, Army Engineering University, Shijiazhuang, China","2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing (AIIPCC)","27 Mar 2023","2022","","","260","263","Diabetes mellitus seriously affects human health. It is necessary to reasonably estimate the risk of diabetes and treat it as early as possible. With the rapid development of information technology and the application of big data, people have acquired a large number of medical data. Making good use of data resources is helpful to the analysis and prediction of diseases. In this paper, data mining technology is applied to the analysis of medical data, and association rules that can reflect the relationship between diseases and various factors are extracted from the data to provide support for early diabetes risk prediction. The disadvantages of classical Apriori algorithm are analysed and an improved algorithm is proposed. The experimental results show that the proposed method is effective.","","978-1-6654-6287-7","10.1109/AIIPCC57291.2022.00063","National Natural Science Foundation of China(grant numbers:61501493); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070309","data mining;diabetes mellitus;risk prediction;association rules;improved Apriori algorithm","Cloud computing;Optimization methods;Information processing;Big Data;Prediction algorithms;Diabetes;Data mining","Big Data;data mining;diseases","big data;data mining technology;data resources;diabetes mellitus;early diabetes risk prediction;human health;information technology;medical data","","","","12","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"CUDA Data Analysis of Small and Medium-Sized Management Platform based on the Multi-Dimensional Perspective of Information Visualization","M. You","School of Economics and Management, Yuxi Agriculture Vocation-Tecanical College, YuXi, China","2022 International Conference on Edge Computing and Applications (ICECAA)","8 Nov 2022","2022","","","164","167","The paper focuses on the discussion and analysis of the application of ERP human resource management system in enterprises, clarifying the concept and operation mechanism of human resource management, and then analyzes the problems and application directions of the application of the system in enterprises. Design and implement a set based on CUDA A parallel analysis framework for large-scale HR web log data. The efficiency of a single node in processing log data analysis is compared with that of traditional CPU serial analysis. The research trend is the research on human resource management in the context of big data; the research frontier is the intensity of human resource management, strategic human resource management, and organizational identity.","","978-1-6654-8232-5","10.1109/ICECAA55415.2022.9936592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9936592","CUDA Data Analysis;Small and Medium-Sized Company;Human Resource Management;Information Visualization","Military communication;Data analysis;Computational modeling;Graphics processing units;Data visualization;Market research;Internet","computer based training;continuing professional development;data analysis;data mining;data visualisation;enterprise resource planning;human resource management;organisational aspects;parallel architectures","enterprises;operation mechanism;parallel analysis framework;log data analysis;traditional CPU serial analysis;big data;strategic human resource management;CUDA data analysis;multidimensional perspective;ERP human resource management system","","","","20","IEEE","8 Nov 2022","","","IEEE","IEEE Conferences"
"Research on Crowdsourcing-oriented Global Complex Task Assignment Based on Artificial Intelligence","J. Zhang; J. Wei","School of Information Engineering, Nanjing University of Finance and Economics, Nanjing, Jiangsu, China; School of Information Engineering, Nanjing University of Finance and Economics, Nanjing, Jiangsu, China","2022 2nd International Symposium on Artificial Intelligence and its Application on Media (ISAIAM)","5 May 2023","2022","","","70","74","In the traditional crowdsourcing platform, every time a complex task is published, a new team needs to be formed from the system to meet the skill requirements of the task. However, this one-sided consideration of the assignment of tasks not only fails to enable workers to perform the appropriate tasks to the best of their ability, but also the number of successful tasks. This becomes even more difficult when a large number of complex tasks are distributed across the globe. The goal of this study is to focus on tasks and the assignment of global workers: to maximize the number of tasks successfully assigned, and to maximize the effort of the workers to complete the appropriate tasks. Then the task assignment process is abstracted into a weighted bipartite graph matching model, which is solved by an improved KM algorithm. Finally, experiments are carried out on real data sets, and the results show that, compared with the previous methods, the method proposed in this paper has achieved good results in increasing the number of successful assignments, improving work efficiency and reducing cost.","","978-1-6654-8541-8","10.1109/ISAIAM55748.2022.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113254","crowdsourcing platforms;weighted bipartite graph matching model;KM algorithm","Crowdsourcing;Costs;Media;Knowledge management;Bipartite graph;Task analysis;Artificial intelligence","artificial intelligence;business data processing;crowdsourcing;graph theory;optimisation;personnel","artificial intelligence;crowdsourcing;global workers;KM algorithm;task assignment;weighted bipartite graph matching","","","","7","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"Enterprise Resource Planning Systems: Implications to Employees in Brunei","Z. Zulkifli; N. A. Ibrahim; U. Subramanian; A. Ahmad","Accounting Universiti Teknologi Brunei, Bandar Seri Begawan, Brunei; Accounting Universiti Teknologi Brunei, Bandar Seri Begawan, Brunei; Accounting Universiti Teknologi Brunei, Bandar Seri Begawan, Brunei; Economics Universiti Teknologi Brunei, Bandar Seri Begawan, Brunei","2022 1st International Conference on Technology Innovation and Its Applications (ICTIIA)","14 Nov 2022","2022","","","1","5","The Enterprise Resource Planning (ERP) system has been seen to be effective by most companies and organizations worldwide, including Brunei Darussalam, which assists in enhancing productivity and integrating business processes. The objectives of the research study are to examine the ERP system's importance in Brunei Darussalam's context and to find out its implication for the employees. Throughout the research study, the researchers have selected companies that have implemented ERP systems. All of the information and data were gathered through the distribution of questionnaires and online surveys. And the findings show an overwhelming response whereby the majority of the respondents found the ERP system helpful, convenient, and enables them to be more productive and efficient, and they also agreed that the ERP system is essential for the company and them in completing their task.","","978-1-6654-8826-6","10.1109/ICTIIA54654.2022.9935872","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935872","Enterprise Resource Planning Systems;Implications;Employees","Training;Productivity;Technological innovation;Process control;Companies;Enterprise resource planning;Distance measurement","business data processing;enterprise resource planning","Brunei Darussalam's context;business processes;employees;Enterprise Resource Planning system;ERP system;productivity","","","","20","IEEE","14 Nov 2022","","","IEEE","IEEE Conferences"
"ERP System Synergizes Company Resources to Achieve Excellence","P. C. Rahayu; T. Tjandera","Industrial Engineering Universitas Pelita Harapan, Tangerang, Indonesia; Industrial Engineering Universitas Pelita Harapan, Tangerang, Indonesia","2022 1st International Conference on Technology Innovation and Its Applications (ICTIIA)","14 Nov 2022","2022","","","1","6","Synergy between resources consisting of man, money, material machine, method, and market in conducting business activities is very necessary in order to achieve business excellence. One way that can be done is to implement an ERP system. For this reason, the design and implementation of business processes into the Odoo 14 ERP system for SMEs in the retail business of finished or prescription drugs, called the Sehat dan Cantik Pharmacy, is still using the manual method. The system design is carried out using the System Development Life Cycle method, consisting of the investigation stage, analysis stage, design stage, implementation stage, and maintenance stage. Then proceed with measuring the success of the system designed using the D&M IS Success Model framework. The system success value is 17.82 of 20. The ERP system that has been developed has succeeded in creating synergies between the resources owned, so that excellence is obtained in various computerized purchasing, inventory management, and sales business processes. This happens, because the pharmacy business process activities become more organized and efficient with the modification and elimination of old and manual business process activities to new and digitized business processes, as well as minimizing human-error.","","978-1-6654-8826-6","10.1109/ICTIIA54654.2022.9935987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935987","Enterprise Resource Planning;Odoo;System Development Life Cycle Method;Information System","Drugs;Technological innovation;Computational modeling;Manuals;Companies;Maintenance engineering;Inventory management","drugs;enterprise resource planning;inventory management;organisational aspects;product life cycle management;purchasing;sales management;small-to-medium enterprises","company resources;computerized purchasing;D&M IS success model framework;digitized business processes;finished drugs;inventory management;maintenance stage;material machine;Odoo 14 ERP system;pharmacy business process activities;prescription drugs;retail business;sales business processes;Sehat dan Cantik Pharmacy;SMEs;system design;system development life cycle method","","","","15","IEEE","14 Nov 2022","","","IEEE","IEEE Conferences"
"T-Shaped Competence Management Framework","S. Garimella; A. Allur; B. Naresh","Business Unit Passive Safety and Sensorics (PSS), Business Area Autonomous Mobility and Safety (AMS) Continental Automotive Components India Pvt. Ltd., Bangalore, India; Business Unit Passive Safety and Sensorics (PSS), Business Area Autonomous Mobility and Safety (AMS) Continental Automotive Components India Pvt. Ltd., Bangalore, India; Business Unit Passive Safety and Sensorics (PSS), Business Area Autonomous Mobility and Safety (AMS) Continental Automotive Components India Pvt. Ltd., Bangalore, India","2021 IEEE Technology & Engineering Management Conference - Europe (TEMSCON-EUR)","26 Jul 2021","2021","","","1","5","With challenging market situation and increased stress on R&D Costs, it becomes critical for any organization to focus on upskilling their workforce to meet current and future Business Needs. Natural progression here would mean, need for workforce to constantly upskill and endure iterations of learn-unlearn-relearn. However, this journey is influenced by several factors like Product complexity, Availability of talent pool, Competence Ramp-up, and Organization’s footprint strategy. In this publication, a quantitative method is proposed to identify priority Training Needs based on Business Strategy, and define clear boundaries for Employee Evaluation, Defining Individual Development Plan & analyzing Data Aggregation for continuous improvement. This methodology was piloted successfully within one of our R&D locations, for multiple T-Models. Successful pilot has encouraged our Global Stakeholders to adapt this method within our business-unit.","","978-1-6654-4091-2","10.1109/TEMSCON-EUR52034.2021.9488621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488621","Competence Management;T Model;Development Plan","Training;Europe;Organizations;Data aggregation;Complexity theory;Stakeholders;Continuous improvement","business data processing;globalisation;human resource management;innovation management;iterative methods;organisational aspects","data aggregation analysis;R&D locations;global stakeholders;competence ramp-up;T-shaped competence management framework;product complexity;workforce upskilling;R&D costs;market situation;business-unit;data aggregation;individual development plan;employee evaluation;business strategy;footprint strategy;talent pool","","1","","2","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Data Processing Optimization of Power Grid Dispatching Control Cloud Based on Edge-Cloud Collaborative Computing","L. Sheng; C. Wang; Y. Liu; N. Zhang; Z. Wang","Information & Telecommunication Company, State Grid Henan Electric Power Company, Zhengzhou, China; Information & Telecommunication Company, State Grid Henan Electric Power Company, Zhengzhou, China; Information & Telecommunication Company, State Grid Henan Electric Power Company, Zhengzhou, China; Information & Telecommunication Company, State Grid Henan Electric Power Company, Zhengzhou, China; Information & Telecommunication Company, State Grid Henan Electric Power Company, Zhengzhou, China","2023 IEEE 3rd International Conference on Power, Electronics and Computer Applications (ICPECA)","29 Mar 2023","2023","","","759","763","Cloud computing technology is widely used in power grid systems. In response to the data with strict delay requirements and a large amount of data generated by the operation of the power grid system. New challenges are raised to the delay of business processing. In order to achieve the goal of minimizing the system average latency time of task processing, based on the power grid dispatching cloud architecture, a delay optimization method based on SDN edge-cloud collaborative computing is proposed. The goal is to minimize the system average delay of task processing. Introduce continuously variable edge and cloud and task distribution coefficients. The delay optimization problem is transformed into the task allocation coefficient optimization problem. And finally get the task allocation optimization strategy based on the model calculation. The experimental results show that when the edge node tasks are reasonably loaded into the cloud center for processing, the system delay of the business can be effectively reduced. Compared with the previous methods, the edge-cloud collaborative computing method proposed in this paper reduces the system delay and utilizes the control mechanism of SDN that can coordinate cloud computing and edge computing. The algorithm can be used in the power system cloud platform system based on SDN.","","978-1-6654-7278-4","10.1109/ICPECA56706.2023.10076154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076154","cloud computing;edge computing;edge-cloud collaborative computing;SDN","Cloud computing;Simulation;Collaboration;Power grids;Dispatching;Delays;Resource management","cloud computing;edge computing;groupware;mobile computing;optimisation;power engineering computing;power grids;software defined networking","business processing;cloud center;cloud computing technology;data processing optimization;delay optimization method;delay optimization problem;edge computing;edge node tasks;edge-cloud collaborative computing method;power grid dispatching cloud architecture;power grid dispatching control cloud;power grid system;power system cloud platform system;SDN edge-cloud collaborative computing;strict delay requirements;task allocation coefficient optimization problem;task allocation optimization strategy;task processing","","","","16","IEEE","29 Mar 2023","","","IEEE","IEEE Conferences"
"Process Mining in Project Management for Smart Cities","K. Zebro; H. Timinger","Institute for Data and Process Science of the University of Applied Sciences Landshut, Landshut, Germany; Institute for Data and Process Science of the University of Applied Sciences Landshut, Landshut, Germany","2022 IEEE European Technology and Engineering Management Summit (E-TEMS)","22 Nov 2022","2022","","","30","35","Smart cities presuppose services, processes and infrastructures supported by highly integrated and networked technologies. The development of these products and technologies is influenced by project management approaches, which can be separated into traditional, agile and hybrid process models. Such process models include quality-gate models, Scrum, and the water-Scrum-fall-model. The most suitable process model must be chosen to ensure efficient and successful development. However, this is not an easy task, as a direct assignment of a project to a specific process model is not always possible. A potential solution for this issue lies in process mining. Process mining systematically analyses processes based on event logs. These can be used to analyse previous projects within an organisation. A model is created through the determined data of previous projects. This model selects an appropriate process model for project management based on a new project's planned data or context factors. An example is the required team size, which influences the selection of an appropriate model. This allows companies to select a process model based on their experiences and data.","","978-1-6654-1100-4","10.1109/E-TEMS53558.2022.9944415","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9944415","process mining;data mining;process model;process management;project management;agile","Smart cities;Engineering management;Project management;Europe;Companies;Data models;Data mining","data mining;project management;smart cities","agile process models;highly integrated technologies;hybrid process models;networked technologies;process mining;project management approaches;quality-gate models;smart cities;traditional process models;water-Scrum-fall-model","","","","17","IEEE","22 Nov 2022","","","IEEE","IEEE Conferences"
