"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Static and Dynamic Joint Analysis for Operation Condition Division of Industrial Process With Incremental Learning","K. Huang; K. Wei; Y. Li; C. Yang; W. Gui","School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China","IEEE Internet of Things Journal","4 Nov 2022","2022","9","22","22081","22094","With the development of information and communication technologies, industrial cyber–physical systems (ICPSs) have accumulated a large amount of data, which enables us to convert data into industrial insight. However, since the industrial process of ICPS is always complicated and large scale, the raw data only contain a few operation condition information, which brings challenges to process monitoring and control. Thus, an efficient operation condition division method for ICPS is necessary. Although many operation condition division methods have been proposed, they were mainly relying on the static characteristics and ignored how the industrial process varies dynamically. Meanwhile, with the industrial process running, there may exist some new operation conditions that make the operation condition division task even more difficult. In order to grasp the static and dynamic features simultaneously of the industrial process and divide operation conditions accurately, we proposed an operation condition division method based on joint static and dynamic analysis with incremental learning. In detail, the slow feature analysis (SFA) and self-organizing map (SOM) network were proposed to extract the static and dynamic features jointly. Then, a division strategy was proposed to distinguish the operation condition changing points. For the new operating condition, we designed an incremental learning method based on the SOM network, which can update the operation condition model in real time. Extensive experiments, including a numerical simulation, two benchmark processes, and an industrial roasting process demonstrate that the proposed method can identify the operation conditions of the raw data in ICPS accurately and efficiently.","2327-4662","","10.1109/JIOT.2021.3078330","National Natural Science Foundation of China(grant numbers:62073340,61860206014); National Key Research and Development Program of China(grant numbers:2019YFB1705300,2019YFB1705300); Innovation-Driven Plan in Central South University, China(grant numbers:2019CX020); 111 Project, China(grant numbers:B17048); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425548","Incremental learning;industrial cyber–physical system (ICPS);operation condition division;static and dynamic analysis","Feature extraction;Self-organizing feature maps;Internet of Things;Data mining;Process control;Indexes;Clustering methods","condition monitoring;learning (artificial intelligence);mineral processing industry;process control;process monitoring;self-organising feature maps","dynamic analysis;dynamic features;efficient operation condition division method;incremental learning method;industrial cyber-physical systems;industrial insight;industrial process;industrial roasting process;joint static analysis;operating condition;operation condition changing points;operation condition division task;operation condition information;operation condition model;operation conditions;raw data;static features","","4","","40","IEEE","7 May 2021","","","IEEE","IEEE Journals"
"NOMA-Enabled Cooperative Computation Offloading for Blockchain-Empowered Internet of Things: A Learning Approach","Z. Li; M. Xu; J. Nie; J. Kang; W. Chen; S. Xie","School of Automation and Guangdong Key Laboratory of IoT Information Technology, Guangdong University of Technology, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; Energy Research Institute @ NTU, Nanyang Technological University, Singapore; Energy Research Institute @ NTU, Nanyang Technological University, Singapore; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; Guangdong–HongKong–Macao Joint Laboratory for Smart Discrete Manufacturing and 111 Center for Intelligent Batch Manufacturing Based on IoT Technology, Guangdong University of Technology, Guangzhou, China","IEEE Internet of Things Journal","5 Feb 2021","2021","8","4","2364","2378","Blockchain technologies allow the Internet of Things (IoT) to build trust among various interest parties. For the resource-limited IoT devices, offloading computation-intensive tasks (blockchain verification and mining tasks, and data process tasks) to edge servers for execution is considered as a promising solution in mobile-edge computing. However, conventional methods (such as linear programming or game theory) for the computation offloading problem cannot achieve long-term performance while the existing deep reinforcement learning (DRL)-based algorithms suffer from slow convergence, lack of robustness, and unstable performance. In this article, we propose a multiagent DRL framework to achieve long-term performance for cooperative computation offloading, in which a scatter network is adopted to improve its stability and league learning is introduced for agents to explore the environment collaboratively for fast convergence and robustness. First, we study the nonorthogonal multiple access-enabled cooperative computation offloading problem and formulate the joint problem as a Markov decision process by considering both the blockchain mining tasks and data processing tasks. Second, to avoid useless exploration and unstable performance, we initially train an intelligent agent represented by scatter networks using conventional expert strategies. Third, in order to enhance the performance, we subsequently establish a hierarchical league where agents collaborate with others to explore the environment. Finally, our experimental results demonstrate that our algorithm could perform better in terms of reducing energy cost and delay cost, and shortening almost 60% of the training time compared with the state-of-the-art approaches.","2327-4662","","10.1109/JIOT.2020.3016644","National Natural Science Foundation of China(grant numbers:61803096,61722304,61703113,61727810); Science and Technology Plan Project of Guangzhou(grant numbers:202002030289); Key Areas of Research and Development Plan Project of Guangdong(grant numbers:2019B010147001); Major Research Project on Industry Technology of Guangzhou(grant numbers:201902020014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9167270","Blockchain;cooperative computation offloading;deep reinforcement learning (DRL);edge computing","Internet of Things;Intelligent agents;Heuristic algorithms;Task analysis;Convergence;Training","blockchains;cloud computing;game theory;Internet of Things;learning (artificial intelligence);linear programming;Markov processes;mobile computing;multi-agent systems","fast convergence;robustness;nonorthogonal multiple access-enabled;Markov decision process;blockchain mining tasks;data processing tasks;NOMA-enabled cooperative computation offloading;league learning;stability;scatter network;multiagent DRL framework;unstable performance;deep reinforcement learning-based algorithms;computation offloading problem;linear programming;mobile-edge computing;data process tasks;blockchain verification;computation-intensive tasks;IoT;blockchain technologies;learning approach;blockchain-empowered Internet","","38","","38","IEEE","14 Aug 2020","","","IEEE","IEEE Journals"
"Incremental Dictionary Learning for Multiframe Satellite Image Representation via Gradual Optimization","X. Han; W. Leng; H. Zhang; Z. Xu; W. Sun","Department of Electronic Engineering, Institute for Ocean Engineering, and the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; Department of Electronic Engineering, Institute for Ocean Engineering, and the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; Department of Electronic Engineering, Institute for Ocean Engineering, and the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; School of Management, China University of Mining and Technology (Beijing), Beijing, China; Department of Electronic Engineering, Institute for Ocean Engineering, and the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China","IEEE Transactions on Geoscience and Remote Sensing","25 May 2022","2022","60","","1","16","Dictionary learning has been widely used in image representation under the framework of sparse theory. However, most of the current dictionary learning strategies can only be used for single-frame image separately, which are insufficient from the perspective of incremental information acquisition and global optimization for the sequential or multiframe satellite images. To this end, this article proposes an incremental dictionary learning method for multiframe satellite images representation in the spectral domain. The incremental dictionary learning is formulated analytically in the framework of sparse representation with low-rank constraint, as a frame-by-frame gradual optimization process of global and local dictionaries, and their corresponding sparse coefficients with the sequence. Specifically, the global dictionary representing the common spectral information of the sequential frames is optimized by two adjacent frames gradually. Meanwhile, the local dictionary representing the specific spectral information of each frame is optimized by the newly added frame itself. In addition, an activity ratio for separating the global dictionary from the local dictionaries, an outlier detection method for initializing the local dictionary are also given, and the alternating direction method of multipliers (ADMMs) is employed to implement the above optimization. Comparison results with the related state-of-the-art methods on different datasets demonstrate that, our proposed method achieves the best representation performance in both spatial and spectral domains, and also helps to improve the performance of dictionary-based tasks using sequential satellite images, such as sea surface anomaly detection.","1558-0644","","10.1109/TGRS.2022.3173936","National Natural Science Foundation of China(grant numbers:41971294); China Postdoctoral Science Foundation(grant numbers:2020M680560); Cross-Media Intelligent Technology Project of Beijing National Research Center for Information Science and Technology (BNRist) of China(grant numbers:BNR2019TD01022); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9771430","Global dictionary;gradual optimization;incremental learning;local dictionary;multiframe images;sparse and low-rank constraints","Dictionaries;Machine learning;Optimization;Sparse matrices;Image representation;Satellites;Matrices","dictionaries;image classification;image motion analysis;image representation;image sequences;learning (artificial intelligence);video signal processing","global dictionary;common spectral information;sequential frames;local dictionary;specific spectral information;newly added frame;representation performance;dictionary-based tasks;sequential satellite images;multiframe satellite image representation;current dictionary learning strategies;single-frame image;incremental information acquisition;global optimization;incremental dictionary learning method;multiframe satellite images representation;sparse representation;frame-by-frame gradual optimization process","","1","","75","IEEE","10 May 2022","","","IEEE","IEEE Journals"
"Predicting Grain Losses and Waste Rate Along the Entire Chain: A Multitask Multigated Recurrent Unit Autoencoder Based Method","J. Cao; Y. Wang; J. He; W. Liang; H. Tao; G. Zhu","Jiangsu Provincial Key Laboratory of E-Business, College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China; Jiangsu Provincial Key Laboratory of E-Business, College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China; Jiangsu Provincial Key Laboratory of E-Business, College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China; College of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Jiangsu Provincial Key Laboratory of E-Business, College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China; Jiangsu Provincial Key Laboratory of E-Business, College of Information Engineering, Nanjing University of Finance and Economics, Nanjing, China","IEEE Transactions on Industrial Informatics","5 Mar 2021","2021","17","6","4390","4400","Predicting grain losses and waste rate (LWR) is critical for agricultural planning and grain policy development. Capturing the stage interaction and generating robust features are the main challenges in grain LWR prediction. In this article, we propose MTGA, a Multitask Gated recurrent unit (GRU) Autoencoder, approach to 1) obtain the robust feature representation for the prediction task and 2) explore the time-ordered interactions among different stages of the grain chain. Specifically, we design multiple GRU encoder-decoder pairs to co-reconstruct the stage features in a common space for robust feature learning. Then, an attention mechanism is proposed better to fuse the reconstructed features from the GRU encoder-decoder pairs. Furthermore, we utilize the multitask for reconstructed loss and grain LWR prediction. We introduce the reconstructed loss task as an auxiliary task to help us to represent the robust features. Besides, we introduce the LWR prediction as main task to learn the parameters for prediction task. We collected the data with questionnaires, interviews, or data from grain management institutes for experiments. The evaluation results show that grain LWR prediction by our approach achieves the best results compared to several state-of-the-art prediction models. Moreover, our method gains overall performance decline of 12.5-18.3% on mean absolute error and root mean square error metrics.","1941-0050","","10.1109/TII.2020.3030709","National Natural Science Foundation of China(grant numbers:91646204,71701089); International Innovation Cooperation Project of Jiangsu Province(grant numbers:BZ2020008); National Center for International Joint Research on E-Business Information Processing(grant numbers:2013B01035); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222073","Deep learning;grain losses and waste rate (LWR) prediction;multitask prediction;recurrent skip connection network (RSCN)","Task analysis;Predictive models;Informatics;Interviews;Economics;Loss measurement","agriculture;feature extraction;image reconstruction;image representation;learning (artificial intelligence);mean square error methods;recurrent neural nets","MTGA;multiple GRU encoder-decoder pairs;root mean square error metrics;mean absolute error;grain policy development;grain LWR prediction;robust feature representation;grain chain;stage features;robust feature learning;reconstructed features;reconstructed loss task;grain management institutes;multitask multigated recurrent unit autoencoder;grain losses and waste rate prediction;agricultural planning","","9","","36","IEEE","13 Oct 2020","","","IEEE","IEEE Journals"
"CIDS: An Efficient Algorithm for Processing Skyline Queries for Partially Complete Data in Cloud Environment","Y. Gulzar; A. A. Alwan","Department of Management Information Systems, College of Business Administration, King Faisal University, Al-Ahsa, Saudi Arabia; School of Theoretical and Applied Science, Ramapo College of New Jersey, Mahwah, NJ, USA","IEEE Access","28 Jun 2022","2022","10","","66449","66466","From a set of existing tuples, a skyline operator retrieves only a subset, superior tuples that are of a person’s interest and are non-dominant. Processing of queries using the skyline operator is an expensive and exhaustive task. It gets more complicated when skyline queries are applied on partially complete data and databases are distributed over different data centers. Incompleteness in data raises many issues such as compromise on transitivity property and the threat of cyclic dominance to occur within database. To overcome such issues this paper proposes an efficient algorithm called Cloud-based Incomplete Data Skyline algorithm (CIDS) for processing skyline queries over partially complete databases in cloud environment. The algorithm retrieves superior tuples with the aim of reducing domination tests between the tuples, decreasing processing time and reducing the huge amount of data flow from one data center to another. Several experiments have been conducted over different types of datasets, and results have proven that the proposed algorithm outplays the existing algorithms in terms of processing time, domination tests as well as the amount of data flow.","2169-3536","","10.1109/ACCESS.2022.3185087","Deanship of Scientific Research, Vice Presidency for Graduate Studies and Scientific Research, King Faisal University, Saudi Arabia(grant numbers:GRANT64); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9803818","Cloud databases;distributed databases;incomplete databases;query processing;skyline queries","Databases;Distributed databases;Data centers;Cloud computing;Optimization;Task analysis;Query processing","cloud computing;computer centres;data handling;database management systems;query processing","CIDS;skyline query processing;cloud environment;skyline operator;cyclic dominance;Cloud-based Incomplete Data Skyline algorithm;data flow;data center;partially complete database;domination test;data incompleteness;transitivity property","","","","47","CCBYNCND","22 Jun 2022","","","IEEE","IEEE Journals"
"Reliability-Aware and Deadline-Constrained Mobile Service Composition Over Opportunistic Networks","Q. Peng; Y. Xia; M. Zhou; X. Luo; S. Wang; Y. Wang; C. Wu; S. Pang; M. Lin","School of Computers, Chongqing University, Chongqing, China; School of Computers, Chongqing University, Chongqing, China; Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA; Chongqing Engineering Research Center of Big Data Application for Smart Cities, Chinese Academy of Sciences, Chongqing, China; College of Information, Liaoning University, Shenyang, China; School of Computers, Chongqing University, Chongqing, China; School of Computers, Chongqing University, Chongqing, China; College of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; Digital Fujian Internet-of-Things Laboratory of Environmental Monitoring, Fujian Normal University, Fuzhou, China","IEEE Transactions on Automation Science and Engineering","1 Jul 2021","2021","18","3","1012","1025","An opportunistic link between two mobile devices or nodes can be constructed when they are within each other’s communication range. Typically, cyber–physical environments consist of a number of mobile devices that are potentially able to establish opportunistic contacts and serve mobile applications in a cost-effective way. Opportunistic mobile service computing is a promising paradigm capable of utilizing the pervasive mobile computational resources around the users. Mobile users are thus allowed to exploit nearby mobile services to boost their computing capabilities without investment in their resource pool. Nevertheless, various challenges, especially its quality-of-service and reliability-aware scheduling, are yet to be addressed. Existing studies and related scheduling strategies consider mobile users to be fully stable and available. In this article, we propose a novel method for reliability-aware and deadline-constrained service composition over opportunistic networks. We leverage the Krill–Herd-based algorithm to yield a deadline-constrained, reliability-aware, and well-executable service composition schedule based on the estimation of completion time and reliability of schedule candidates. We carry out extensive case studies based on some well-known mobile service composition templates and a real-world opportunistic contact data set. The comparison results suggest that the proposed approach outperforms existing ones in terms of success rate and completion time of composed services. Note to Practitioners—Recently, the rapid development of mobile devices and mobile communication leads to the prosperity of mobile service computing. Services running on mobile devices within a limited range are allowed to be composed to coordinate through wireless communication technologies and perform complex tasks and business processes. Despite its great potential, mobile service compositions remains a challenge since the mobility of users and devices imposes high unpredictability on the execution of tasks. A careful investigation into existing methods has found their various limitations, e.g., assuming time-invariant availability of mobile services. This article presents a novel reliability-aware and deadline-constrained service composition method for mobile opportunistic networks. Instead of assuming time-invariant availability of mobile nodes, the proposed method is capable of estimating service availability at run-time and leveraging a Krill–Herd-based algorithm to yield the deadline-constrained, reliability-aware, and well-executable service composition schedules. Case studies based on well-known service composition templates and real-world data sets suggest that it outperforms traditional ones in terms of success and completion time of composed services. It can thus aid the design and optimization of composite services as well as their smooth execution in a mobile environment. It can help practitioners better manage the reliability and performance of real-world applications built upon mobile services.","1558-3783","","10.1109/TASE.2020.2993218","NSFC(grant numbers:61472051,61772493); Fundamental Research Funds for the Central Universities(grant numbers:2019CDXYJSJ0022); Natural Science Foundation of Chongqing (China)(grant numbers:cstc2019jcyjjqX0013); Universities’ Sci-tech Achievements Transformation Project of Chongqing(grant numbers:KJZH17104); Chongqing Research Program of Technology Innovation and Application(grant numbers:cstc2017rgznzdyfX0020,cstc2017zdcy-zdyf0554,cstc2017rgzn-zdyf0118); Chongqing Cultivation Program of Innovation and Entrepreneurship Demonstration Group(grant numbers:cstc2017kjrc-cxcytd0149); Chongqing Overseas Scholars Innovation Program(grant numbers:cx2017012,cx2018011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9106793","Intelligent optimization;Krill–Herd algorithm;mobile computing;mobile opportunistic network;mobile service composition;service reliability","Reliability;Mobile computing;Device-to-device communication;Service computing;Quality of service;Optimization","mobile communication;mobile computing;optimisation;scheduling;smart phones;telecommunication computing;Web services","opportunistic mobile service computing;pervasive mobile computational resources;quality-of-service;reliability-aware scheduling;Krill-Herd-based algorithm;completion time;mobile communication;time-invariant availability;mobile opportunistic networks;mobile nodes;cyber-physical environments;business processes;deadline-constrained mobile service composition method;service composition schedule;service composition templates;wireless communication technologies;real-world opportunistic contact data set","","13","","68","IEEE","2 Jun 2020","","","IEEE","IEEE Journals"
"Weighted Aggregating Stochastic Gradient Descent for Parallel Deep Learning","P. Guo; Z. Ye; K. Xiao; W. Zhu","Department of Applied Mathematics and Statistics, Stony Brook University, Stony Brook, NY, USA; Department of Applied Mathematics and Statistics, Stony Brook University, Stony Brook, NY, USA; College of Business, Stony Brook University, Stony Brook, NY, USA; Department of Applied Mathematics and Statistics, Stony Brook University, Stony Brook, NY, USA","IEEE Transactions on Knowledge and Data Engineering","12 Sep 2022","2022","34","10","5037","5050","This paper investigates the stochastic optimization problem focusing on developing scalable parallel algorithms for deep learning tasks. Our solution involves a reformation of the objective function for stochastic optimization in neural network models, along with a novel parallel computing strategy, coined the weighted aggregating stochastic gradient descent (WASGD). Following a theoretical analysis on the characteristics of the new objective function, WASGD introduces a decentralized weighted aggregating scheme based on the performance of local workers. Without any center variable, the new method automatically gauges the importance of local workers and accepts them by their contributions. Furthermore, we have developed an enhanced version of the method, WASGD+, by (1) implementing a designed sample order and (2) upgrading the weight evaluation function. To validate the new method, we benchmark our pipeline against several popular algorithms including the state-of-the-art deep neural network classifier training techniques (e.g., elastic averaging SGD). Comprehensive validation studies have been conducted on four classic datasets: CIFAR-100, CIFAR-10, Fashion-MNIST, and MNIST. Subsequent results have firmly validated the superiority of the WASGD scheme in accelerating the training of deep architecture. Better still, the enhanced version, WASGD+, is shown to be a significant improvement over its prototype.","1558-2191","","10.1109/TKDE.2020.3047894","National Natural Science Foundation of China(grant numbers:#62076112,#91746109); Institute of Education Sciences(grant numbers:#R305A18027); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310348","Stochastic optimization;stochastic gradient descent;parallel computing;deep learning;neural network","Optimization;Deep learning;Convergence;Stochastic processes;Mathematical model;Boltzmann distribution;Task analysis","gradient methods;learning (artificial intelligence);neural nets;optimisation;parallel algorithms;pattern classification;stochastic processes","weighted aggregating stochastic gradient descent;parallel deep learning;stochastic optimization problem;scalable parallel algorithms;deep learning tasks;objective function;neural network models;parallel computing strategy;decentralized weighted aggregating scheme;local workers;weight evaluation function;state-of-the-art deep neural network classifier training techniques;WASGD scheme","","6","","43","IEEE","29 Dec 2020","","","IEEE","IEEE Journals"
"Identifying Critical Dimensions for Project Success in R&D Environment Using Delphi Study and Validation Techniques","H. Hanif; A. Hanif; A. Ahsan; A. S. Sadiq; S. Mirjalili; B. Alkazemi","Engineering Management Department, Center for Advanced Studies in Engineering, Islamabad, Pakistan; School of Management, Air University, Islamabad, Pakistan; Business Department, Torrens University Australia, Adelaide, SA, Australia; School of Mathematics and Computer Science, University of Wolverhampton, Wolverhampton, U.K.; Center for Artificial Intelligence Research and Optimization, Torrens University Australia, Fortitude Valley, Brisbane, QLD, Australia; Department of Computer Science, College of Computer and Information Systems, Umm Al-Qura University, Mecca, Saudi Arabia","IEEE Access","4 Oct 2021","2021","9","","133594","133610","In the current century, organizations face ever increasing dynamic ecosystems and are constantly devising strategies to meet their challenges. These include the implementation of the right organizational structure and avoid project schedule delays to achieve projects’ success. Unfortunately, the classification of significant project success dimensions in the R&D environment is still an elusive concept. This study adopts a multi-dimensional qualitative and quantitative approach to explore the critical dimensions of organizational structure and schedule management that enhance or hinder the project success in R&D organizations. In Phase 1, a Delphi Study is conducted, results of reliability and other tests are the input of Phase 2. On the basis of these tests, variables have been selected for the next phase or final questionnaire. In Phase 2, through a survey of 285 responses in a R&D environment, the proposed framework is validated by conducting face, content and construct validity. The results indicated that formalization, specialization, differentiation, coordination mechanism, decentralization and authority of managers have a significant effect on the schedule management and successful execution of R&D projects; whereas, centralization and departmentalization do not correlate strongly. The results also imply that decentralized organizational structures (organic) are more preferable than centralized structures (mechanistic) for the execution of R&D projects when proposed timelines are to be met timely. The proposed framework will act as a supporting mechanism for engineering managers to deal with organizational structure and schedule management factors in a highly uncertain R&D environment where projects deviate frequently from their anticipated timeline.","2169-3536","","10.1109/ACCESS.2021.3112112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9536503","Organizational Structure;Project Success;Project Management;R&D Environment;R&D Projects;Schedule Management;The Delphi Study","Research and development;Schedules;Organizations;Uncertainty;Delays;Project management;Task analysis","forecasting theory;organisational aspects;project management;research and development;scheduling","critical dimensions;R&D environment;Delphi study;validation techniques;organizational structure;project success dimensions;schedule management factors","","","","149","CCBY","13 Sep 2021","","","IEEE","IEEE Journals"
"Privacy-Preserving Stochastic Gradual Learning","B. Han; I. W. Tsang; X. Xiao; L. Chen; S. -F. Fung; C. P. Yu","Department of Computer Science, Hong Kong Baptist University, Kowloon Tong, Hong Kong SAR; Centre for Artificial Intelligence, University of Technology Sydney, Ultimo, NSW, Australia; Department of Computer Science, National University of Singapore, Singapore; Centre for Artificial Intelligence, University of Technology Sydney, Ultimo, NSW, Australia; Department of Applied Social Sciences, City University of Hong Kong, Kowloon Tong, Hong Kong; Global Business College of Australia, Melbourne, VIC, Australia","IEEE Transactions on Knowledge and Data Engineering","7 Jul 2021","2021","33","8","3129","3140","It is challenging for stochastic optimization to handle large-scale sensitive data safely. Duchi et al. recently proposed a private sampling strategy to solve privacy leakage in stochastic optimization. However, this strategy leads to a degeneration in robustness, since this strategy is equal to noise injection on each gradient, which adversely affects updates of the primal variable. To address this challenge, we introduce a robust stochastic optimization under the framework of local privacy, which is called Privacy-pREserving StochasTIc Gradual lEarning (PRESTIGE). PRESTIGE bridges private updates of the primal variable (by private sampling) with gradual curriculum learning (CL). The noise injection leads to similar issue from label noise, but the robust learning process of CL can combat with label noise. Thus, PRESTIGE yields “private but robust” updates of the primal variable on the curriculum, that is, a reordered label sequence provided by CL. In theory, we reveal the convergence rate and maximum complexity of PRESTIGE. Empirical results on six datasets show that PRESTIGE achieves a good tradeoff between privacy preservation and robustness over baselines.","1558-2191","","10.1109/TKDE.2020.2963977","ARC(grant numbers:LP150100671,DP180100106,DP200101328); MOE, Singapore(grant numbers:MOE2015-T2-2-069); NUS, Singapore; ARC(grant numbers:DP180100966); HKBU Tier-1(grant numbers:HKBU CSD); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949708","Stochastic optimization;differential privacy;robustness","Privacy;Optimization;Differential privacy;Robustness;Stochastic processes;Task analysis","data handling;data privacy;gradient methods;learning (artificial intelligence);optimisation;sampling methods;stochastic processes","private sampling strategy;privacy leakage;noise injection;robust stochastic optimization;local privacy;PRESTIGE;gradual curriculum learning;label noise;robust learning process;privacy-preservation stochastic gradual learning;large-scale sensitive data handling","","1","","58","IEEE","3 Jan 2020","","","IEEE","IEEE Journals"
"Joint Sample Enhancement and Instance-Sensitive Feature Learning for Efficient Person Search","X. Ke; H. Liu; W. Guo; B. Chen; Y. Cai; W. Chen","Fujian Provincial Key Laboratory of Networking Computing and Intelligent Information Processing, College of Computer and Data Science, Fuzhou University, Fuzhou, China; Fujian Provincial Key Laboratory of Networking Computing and Intelligent Information Processing, College of Computer and Data Science, Fuzhou University, Fuzhou, China; Fujian Provincial Key Laboratory of Networking Computing and Intelligent Information Processing, College of Computer and Data Science, Fuzhou University, Fuzhou, China; Fujian Provincial Key Laboratory of Networking Computing and Intelligent Information Processing, College of Computer and Data Science, Fuzhou University, Fuzhou, China; Fujian Provincial Key Laboratory of Networking Computing and Intelligent Information Processing, College of Computer and Data Science, Fuzhou University, Fuzhou, China; Fujian Provincial Key Laboratory of Networking Computing and Intelligent Information Processing, College of Computer and Data Science, Fuzhou University, Fuzhou, China","IEEE Transactions on Circuits and Systems for Video Technology","28 Oct 2022","2022","32","11","7924","7937","Person search, consisting of jointly or separately trained person detection stage and person Re-ID stage, suffers from significant challenges such as inefficiency and difficulty in acquiring discriminative features. However, certain work has either turned to the end-to-end framework whose performance is limited by task conflicts or has consistently attempted to obtain more accurate bounding boxes (Bboxes). Few studies have focused on the impact of sample-specificity in person search datasets for training a fine-grain Re-ID model, and few have considered obtaining discriminative Re-ID features from Bboxes in a more efficient way. In this paper, a novel sample-enhanced and instance-sensitive (SEIE) framework is designed to boost performance. By analyzing the structure of person search framework, our method refines the two stages separately. For the detection stage, we re-design the usage of Bbox and a sample enhancement combination is proposed to further enhance the quality and quantity of Bboxes. SEC can suppress false positive detection results and randomly generate high-quality positive samples. For the Re-ID stage, we contribute an instance similarity loss to exploit the similarity between classless instances, and an Omni-scale Re-ID backbone is employed to learn more discriminative features. We obtain a more efficient and discriminative person search framework by concatenating the two stages. Extensive experiments demonstrate that our method achieves state-of-the-art performance with a high speed, and significantly outperforms other existing methods.","1558-2205","","10.1109/TCSVT.2022.3188551","National Natural Science Foundation of China(grant numbers:61972097,U21A20472); National Key Research and Development Plan of China(grant numbers:2021YFB3600503); Natural Science Foundation of Fujian Province(grant numbers:2021J01612,2020J01494); Major Science and Technology Project of Fujian Province(grant numbers:2021HZ022007); Industry-Academy Cooperation Project of Fujian Province(grant numbers:2018H6010); Fujian Collaborative Innovation Center for Big Data Application in Governments; Fujian Engineering Research Center of Big Data Analysis and Processing; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9815306","Person search;person re-identification;deep neural networks","Feature extraction;Task analysis;Training;Search problems;Head;Detectors;Proposals","feature extraction;image enhancement;learning (artificial intelligence)","accurate bounding boxes;Bboxes;classless instances;discriminative features;discriminative person search framework;discriminative Re-ID features;efficient person search framework;false positive detection results;fine-grain Re-ID model;high-quality positive samples;instance similarity loss;instance-sensitive feature learning;joint sample enhancement;jointly trained person detection stage;omni-scale Re-ID backbone;person Re-ID stage;person search datasets;sample enhancement combination;sample-specificity","","","","52","IEEE","5 Jul 2022","","","IEEE","IEEE Journals"
